rank	index(in origin)	label_driven_mi	data_driven_mi	data_driven_pcc	data_driven_plv	modeled_sigmoid	modeled_gaussian
1		23	60	60	59	11	11
2		32	59	59	60	7	7
3		31	54	57	54	33	9
4		41	56	61	58	30	10
5		61	51	58	51	20	8
6		1	50	50	52	39	20
7		4	48	56	56	21	16
8		0	53	49	50	10	3
9		18	9	51	57	8	30
10		47	52	41	53	9	29
11		26	11	40	61	3	21
12		43	10	54	55	29	33
13		37	42	33	48	12	4
14		19	7	52	8	16	12
15		49	57	55	9	48	6
16		48	8	42	49	57	25
17		34	58	39	42	24	39
18		10	47	32	39	6	24
19		3	43	48	10	4	34
20		42	4	30	11	34	15
21		17	49	22	43	38	38
22		25	3	13	47	15	43
23		38	33	24	17	43	48
24		2	41	14	41	61	19
25		51	39	1	46	25	47
26		39	61	21	19	42	42
27		29	12	3	33	60	57
28		28	19	31	20	54	54
29		56	20	53	38	41	0
30		46	46	12	3	47	61
31		50	38	15	16	56	53
32		57	6	23	45	51	17
33		33	30	43	40	59	1
34		45	21	0	34	53	52
35		40	17	34	30	49	41
36		6	34	11	18	52	60
37		9	15	2	25	50	13
38		16	40	38	29	40	51
39		44	18	20	21	19	2
40		8	16	8	7	0	22
41		53	1	47	12	1	40
42		24	55	16	24	13	56
43		22	24	29	1	22	49
44		35	0	25	15	17	59
45		7	29	9	32	2	50
46		55	25	10	44	14	46
47		58	37	7	35	58	14
48		30	45	4	37	31	31
49		59	2	17	28	32	35
50		11	35	6	0	46	23
51		21	22	19	26	23	32
52		15	13	35	13	35	58
53		13	28	28	4	37	37
54		52	31	46	2	28	45
55		54	32	26	22	45	28
56		27	14	37	14	55	18
57		60	23	45	31	18	44
58		5	44	44	23	44	55
59		20	36	18	6	26	26
60		14	26	36	27	36	36
61		12	27	27	36	5	5
62		36	5	5	5	27	27
