Subject-Experiment,accuracy,recall,f1_score
sub1ex1,76.09918771,76.09918771,73.72351285
sub1ex2,60.79646018,60.79646018,56.37323085
sub1ex3,68.57420912,68.57420912,63.87099116
sub2ex1,64.81734271,64.81734271,62.35807423
sub2ex2,65.08464606,65.08464606,63.76864349
sub2ex3,49.86954904,49.86954904,40.4347441
sub3ex1,59.04410938,59.04410938,53.69408971
sub3ex2,67.23881694,67.23881694,64.99395117
sub3ex3,59.1536259,59.1536259,55.28549371
sub4ex1,66.32375713,66.32375713,63.74883672
sub4ex2,49.27551276,49.27551276,41.604964
sub4ex3,63.53376759,63.53376759,60.61172933
sub5ex1,76.85819081,76.85819081,74.31548576
sub5ex2,69.35630931,69.35630931,65.75359885
sub5ex3,72.80763674,72.80763674,68.05896777
sub6ex1,89.42525454,89.42525454,88.81517861
sub6ex2,69.16158444,69.16158444,63.88434034
sub6ex3,90.37387867,90.37387867,89.8889598
sub7ex1,72.65763545,72.65763545,69.45311375
sub7ex2,78.75232485,78.75232485,77.89243884
sub7ex3,59.75017085,59.75017085,57.79720961
sub8ex1,69.95285426,69.95285426,67.32685352
sub8ex2,72.38505523,72.38505523,70.75341635
sub8ex3,73.46923416,73.46923416,71.18441433
sub9ex1,75.66830163,75.66830163,74.19335504
sub9ex2,62.43038435,62.43038435,57.13663659
sub9ex3,49.33234717,49.33234717,45.21980763
sub10ex1,45.29338489,45.29338489,44.49528959
sub10ex2,63.71430549,63.71430549,59.38583383
sub10ex3,55.79191862,55.79191862,51.03005014
sub11ex1,66.46346422,66.46346422,62.20175619
sub11ex2,82.27493317,82.27493317,81.13622984
sub11ex3,78.03536363,78.03536363,76.22898649
sub12ex1,76.63673561,76.63673561,74.62215833
sub12ex2,78.61460739,78.61460739,75.79862571
sub12ex3,71.89906487,71.89906487,71.45636865
sub13ex1,64.0961427,64.0961427,59.98976576
sub13ex2,73.95617609,73.95617609,72.73271506
sub13ex3,49.14731096,49.14731096,43.54625562
sub14ex1,65.64390695,65.64390695,58.52841383
sub14ex2,58.10058911,58.10058911,56.25452995
sub14ex3,76.26519261,76.26519261,73.16867362
sub15ex1,68.53606,68.53606,66.36990957
sub15ex2,93.16135953,93.16135953,92.23655421
sub15ex3,81.07111653,81.07111653,79.04124306
Average,68.46430621,68.46430621,65.34145328
