Subject-Experiment,accuracy,recall,f1_score
sub1ex1,80.73235928,80.73235928,77.8361226
sub1ex2,75.80532704,75.80532704,72.61230538
sub1ex3,85.78629573,85.78629573,85.83936129
sub2ex1,67.15040788,67.15040788,64.55895878
sub2ex2,78.23519235,78.23519235,77.41098113
sub2ex3,69.99463663,69.99463663,64.79502798
sub3ex1,72.65149353,72.65149353,71.20013203
sub3ex2,85.29113574,85.29113574,84.72975258
sub3ex3,83.67771348,83.67771348,80.70240293
sub4ex1,91.14793381,91.14793381,90.91327054
sub4ex2,68.30180192,68.30180192,62.28719553
sub4ex3,70.95571761,70.95571761,68.08735537
sub5ex1,83.07476708,83.07476708,80.79199809
sub5ex2,86.61718527,86.61718527,86.50372883
sub5ex3,68.76928001,68.76928001,62.86773962
sub6ex1,89.80181489,89.80181489,88.93154132
sub6ex2,81.5718129,81.5718129,81.01027907
sub6ex3,82.73722091,82.73722091,80.21136655
sub7ex1,75.5163972,75.5163972,70.418918
sub7ex2,98.06451613,98.06451613,98.04069809
sub7ex3,81.45641398,81.45641398,80.78459152
sub8ex1,87.16182666,87.16182666,85.56784673
sub8ex2,88.00326992,88.00326992,85.4184481
sub8ex3,91.95538024,91.95538024,91.67754937
sub9ex1,97.17212087,97.17212087,97.14584124
sub9ex2,74.31655983,74.31655983,71.62476511
sub9ex3,67.30897326,67.30897326,60.53114617
sub10ex1,69.78814696,69.78814696,64.45331954
sub10ex2,74.49597315,74.49597315,70.74724109
sub10ex3,72.25304717,72.25304717,69.14468441
sub11ex1,75.39321274,75.39321274,71.55972437
sub11ex2,82.91706676,82.91706676,82.36079917
sub11ex3,93.15634218,93.15634218,92.9072624
sub12ex1,84.44311802,84.44311802,83.63317334
sub12ex2,81.30710473,81.30710473,78.01018208
sub12ex3,91.7611744,91.7611744,91.4749426
sub13ex1,87.18120399,87.18120399,86.58877265
sub13ex2,85.53075719,85.53075719,85.30243919
sub13ex3,74.37962266,74.37962266,69.79876746
sub14ex1,91.18002751,91.18002751,90.88499966
sub14ex2,76.32868796,76.32868796,74.62824993
sub14ex3,79.41496034,79.41496034,78.03792333
sub15ex1,76.21380808,76.21380808,73.2930384
sub15ex2,90.72889904,90.72889904,90.27524416
sub15ex3,96.33171567,96.33171567,96.06126715
Average,81.46805384,81.46805384,79.37025233
