Subject-Experiment,accuracy,recall,f1_score
sub1ex1,74.34476077,74.34476077,70.58435071
sub1ex2,71.01255201,71.01255201,65.82007641
sub1ex3,67.181377,67.181377,65.34631339
sub2ex1,70.9118591,70.9118591,68.35503394
sub2ex2,75.85100217,75.85100217,75.36232421
sub2ex3,59.88659071,59.88659071,54.79739521
sub3ex1,64.79130442,64.79130442,60.1108741
sub3ex2,75.46466665,75.46466665,72.36736117
sub3ex3,79.36262424,79.36262424,76.68416533
sub4ex1,72.18116074,72.18116074,67.3558815
sub4ex2,64.80514537,64.80514537,58.13650799
sub4ex3,70.56272113,70.56272113,67.06407522
sub5ex1,72.47830864,72.47830864,70.87140243
sub5ex2,78.99955882,78.99955882,77.4055533
sub5ex3,77.86806114,77.86806114,75.15397366
sub6ex1,90.72215158,90.72215158,90.52452289
sub6ex2,79.49636243,79.49636243,78.87892506
sub6ex3,87.62506596,87.62506596,86.02829463
sub7ex1,71.95901349,71.95901349,67.5171667
sub7ex2,82.72009273,82.72009273,81.62082672
sub7ex3,68.10586597,68.10586597,65.46281013
sub8ex1,75.52911357,75.52911357,72.29611924
sub8ex2,76.71043867,76.71043867,73.73432277
sub8ex3,86.25671502,86.25671502,85.60779831
sub9ex1,90.30380886,90.30380886,89.80652532
sub9ex2,69.56279899,69.56279899,65.365724
sub9ex3,69.06132406,69.06132406,65.2797812
sub10ex1,59.25786555,59.25786555,56.77743206
sub10ex2,69.05647973,69.05647973,67.22979054
sub10ex3,70.04567514,70.04567514,66.18720854
sub11ex1,62.88073426,62.88073426,58.55011682
sub11ex2,78.28095399,78.28095399,77.74864862
sub11ex3,83.51430376,83.51430376,80.40572752
sub12ex1,73.85747282,73.85747282,68.99901126
sub12ex2,80.15302901,80.15302901,75.81274582
sub12ex3,86.04884125,86.04884125,84.204867
sub13ex1,74.75540446,74.75540446,71.32341902
sub13ex2,86.93855483,86.93855483,86.9296059
sub13ex3,65.55169162,65.55169162,62.58462453
sub14ex1,76.29304752,76.29304752,74.94653163
sub14ex2,64.07840898,64.07840898,62.22888496
sub14ex3,81.53937318,81.53937318,80.66479118
sub15ex1,62.1762299,62.1762299,55.19680735
sub15ex2,96.22418879,96.22418879,96.10555499
sub15ex3,87.76312944,87.76312944,85.76249911
Average,75.15932952,75.15932952,72.42658605
