Subject-Experiment,accuracy,recall,f1_score
sub1ex1,78.77213471,78.77213471,76.15831621
sub1ex2,71.64067163,71.64067163,68.85211436
sub1ex3,73.34189742,73.34189742,71.64903652
sub2ex1,63.24172354,63.24172354,59.57501448
sub2ex2,64.76145987,64.76145987,60.56933858
sub2ex3,66.45991747,66.45991747,62.57221714
sub3ex1,72.90538845,72.90538845,68.64148095
sub3ex2,85.79624391,85.79624391,84.05639468
sub3ex3,84.44519416,84.44519416,82.35018446
sub4ex1,85.24597964,85.24597964,82.68720334
sub4ex2,66.13742333,66.13742333,61.5396051
sub4ex3,77.74427114,77.74427114,76.73628352
sub5ex1,80.86834661,80.86834661,78.39327975
sub5ex2,83.68887274,83.68887274,81.54857665
sub5ex3,85.65636381,85.65636381,84.84432293
sub6ex1,89.40457962,89.40457962,88.322433
sub6ex2,88.73770534,88.73770534,86.72699852
sub6ex3,83.92754263,83.92754263,82.8906325
sub7ex1,69.46028945,69.46028945,65.37173187
sub7ex2,84.6001263,84.6001263,83.00196247
sub7ex3,80.75121757,80.75121757,76.58584105
sub8ex1,86.71865674,86.71865674,84.54983652
sub8ex2,78.44012491,78.44012491,74.89926716
sub8ex3,90.27431033,90.27431033,89.28797797
sub9ex1,86.39849826,86.39849826,85.90410735
sub9ex2,80.05423922,80.05423922,79.4810977
sub9ex3,72.94526769,72.94526769,67.58425757
sub10ex1,69.15094421,69.15094421,65.32020665
sub10ex2,74.37330773,74.37330773,70.66616998
sub10ex3,83.19838407,83.19838407,80.26358712
sub11ex1,70.82543967,70.82543967,67.13150633
sub11ex2,71.88418585,71.88418585,71.92242703
sub11ex3,97.02774245,97.02774245,96.97744014
sub12ex1,95.40964887,95.40964887,95.46353257
sub12ex2,74.72780906,74.72780906,72.64832127
sub12ex3,98.14816737,98.14816737,98.12807419
sub13ex1,77.2453914,77.2453914,76.83700241
sub13ex2,72.66524797,72.66524797,71.46835968
sub13ex3,78.78268843,78.78268843,75.05609451
sub14ex1,85.86579469,85.86579469,85.15479639
sub14ex2,70.75779202,70.75779202,68.72279439
sub14ex3,75.2920873,75.2920873,74.04937316
sub15ex1,83.15634218,83.15634218,79.52937998
sub15ex2,88.06944697,88.06944697,86.42286516
sub15ex3,97.46312684,97.46312684,97.37225664
Average,79.92137764,79.92137764,77.73141555
