Subject-Experiment,accuracy,recall,f1_score
sub1ex1,84.57279042,84.57279042,83.97445504
sub1ex2,75.1463248,75.1463248,71.00956512
sub1ex3,72.05088279,72.05088279,69.12736693
sub2ex1,64.89242987,64.89242987,60.47115535
sub2ex2,72.8579832,72.8579832,70.26693417
sub2ex3,70.81099317,70.81099317,67.45502052
sub3ex1,75.72487651,75.72487651,73.08466077
sub3ex2,78.77369181,78.77369181,75.93734224
sub3ex3,83.36283186,83.36283186,80.26068886
sub4ex1,93.28644711,93.28644711,93.03617327
sub4ex2,70.13209457,70.13209457,65.02658764
sub4ex3,75.09805448,75.09805448,71.88968589
sub5ex1,82.27571173,82.27571173,78.50924407
sub5ex2,94.37218315,94.37218315,94.10490248
sub5ex3,65.85152121,65.85152121,59.85469723
sub6ex1,77.90560472,77.90560472,74.06360053
sub6ex2,88.19617817,88.19617817,85.77494208
sub6ex3,83.20634262,83.20634262,80.52520389
sub7ex1,80.12413602,80.12413602,75.96597484
sub7ex2,95.07616848,95.07616848,94.758873
sub7ex3,65.96743916,65.96743916,63.95970283
sub8ex1,82.3830656,82.3830656,81.19945201
sub8ex2,87.85560429,87.85560429,87.80941952
sub8ex3,95.28110105,95.28110105,95.11611653
sub9ex1,81.87397815,81.87397815,80.24489138
sub9ex2,71.39049646,71.39049646,67.12993949
sub9ex3,64.30289189,64.30289189,59.49024175
sub10ex1,67.31200097,67.31200097,60.48853512
sub10ex2,64.47806642,64.47806642,60.9672883
sub10ex3,67.99306222,67.99306222,63.12549771
sub11ex1,75.68404571,75.68404571,72.60291939
sub11ex2,76.18162787,76.18162787,76.51541833
sub11ex3,92.92035398,92.92035398,91.77165064
sub12ex1,82.34422443,82.34422443,79.59372203
sub12ex2,76.48336058,76.48336058,70.77523153
sub12ex3,88.95725742,88.95725742,88.53757632
sub13ex1,86.57782507,86.57782507,84.76108157
sub13ex2,82.14932655,82.14932655,81.37749284
sub13ex3,83.51646641,83.51646641,78.86013065
sub14ex1,65.33940605,65.33940605,60.01175407
sub14ex2,68.31598889,68.31598889,65.91663595
sub14ex3,80.82691027,80.82691027,79.42573656
sub15ex1,76.99858995,76.99858995,73.01696459
sub15ex2,91.28694885,91.28694885,90.66451329
sub15ex3,88.90855457,88.90855457,85.69044584
Average,78.86768532,78.86768532,76.0922096
