Subject-Experiment,accuracy,recall,f1_score
sub1ex1,88.73208246,88.73208246,88.09013665
sub1ex2,78.38251196,78.38251196,74.97924521
sub1ex3,73.14656701,73.14656701,70.88833383
sub2ex1,69.44298826,69.44298826,66.9345806
sub2ex2,70.85433265,70.85433265,68.31305767
sub2ex3,65.59892387,65.59892387,60.88289289
sub3ex1,72.24578067,72.24578067,68.32125404
sub3ex2,78.0364017,78.0364017,74.99052017
sub3ex3,81.15338368,81.15338368,77.32213085
sub4ex1,95.40982188,95.40982188,95.21412785
sub4ex2,68.07290721,68.07290721,61.23887959
sub4ex3,75.33646485,75.33646485,72.20821628
sub5ex1,77.06087423,77.06087423,73.50277862
sub5ex2,92.74734211,92.74734211,92.13217826
sub5ex3,67.08682601,67.08682601,59.58309517
sub6ex1,77.61061947,77.61061947,73.74327975
sub6ex2,86.5782576,86.5782576,83.38703515
sub6ex3,82.7341932,82.7341932,79.98300662
sub7ex1,81.864549,81.864549,77.97054707
sub7ex2,96.58059326,96.58059326,96.4764455
sub7ex3,70.91800102,70.91800102,68.5840364
sub8ex1,83.88593327,83.88593327,82.7017983
sub8ex2,86.85351949,86.85351949,86.72817584
sub8ex3,91.2789903,91.2789903,90.68246607
sub9ex1,88.05413542,88.05413542,87.73117944
sub9ex2,69.96903087,69.96903087,65.88770837
sub9ex3,63.09708561,63.09708561,57.88178324
sub10ex1,65.34269328,65.34269328,59.58197229
sub10ex2,65.31284873,65.31284873,62.72484442
sub10ex3,70.11712904,70.11712904,65.94758212
sub11ex1,75.26829817,75.26829817,72.28646584
sub11ex2,73.53454615,73.53454615,73.09371985
sub11ex3,92.38938053,92.38938053,91.01370166
sub12ex1,79.85683267,79.85683267,76.41593245
sub12ex2,75.07019957,75.07019957,68.38588549
sub12ex3,87.5703077,87.5703077,86.81352462
sub13ex1,86.6379467,86.6379467,86.09018032
sub13ex2,83.14760508,83.14760508,82.91662516
sub13ex3,75.2192493,75.2192493,70.06795503
sub14ex1,67.32030554,67.32030554,62.1557305
sub14ex2,70.11124664,70.11124664,67.98668939
sub14ex3,81.53366379,81.53366379,80.58142539
sub15ex1,73.29388663,73.29388663,67.09427214
sub15ex2,90.84533603,90.84533603,90.40027299
sub15ex3,90.8259587,90.8259587,89.0439717
Average,78.5806567,78.5806567,75.75465868
